iter	Passed	Remaining
0	1	156
1	2	146
2	4	139
3	5	129
4	6	126
5	7	121
6	8	119
7	10	117
8	11	115
9	12	113
10	13	109
11	14	107
12	15	104
13	16	102
14	17	100
15	18	98
16	19	95
17	20	93
18	21	91
19	22	89
20	23	87
21	24	85
22	25	83
23	25	81
24	26	79
25	27	77
26	28	76
27	28	74
28	29	72
29	30	71
30	31	69
31	32	68
32	32	66
33	33	65
34	34	63
35	34	62
36	35	60
37	36	59
38	37	58
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	25
70	61	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
